"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Grumpy Cat's Worst Game Ever","0.00","5170","5.0","$330,000.00","$142,000.00","$188,000.00"
"J&J Official 7 Minute Workout","0.00","4861","5.0","$330,000.00","$142,000.00","$188,000.00"
"Productive habits & daily goals tracker","0.00","4736","5.0","$330,000.00","$142,000.00","$188,000.00"
"Fitbod Workout Log: Strength Lifting Bodybuilding","0.00","4668","5.0","$330,000.00","$142,000.00","$188,000.00"
"Crazy Cake Swap","0.00","4638","5.0","$330,000.00","$142,000.00","$188,000.00"
"Dungeon Raid","0.99","4401","5.0","$330,000.00","$142,000.00","$188,000.00"
"Atom – Movie Tickets and Showtimes","0.00","4105","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots: Hot Vegas Slot Machines - Free Slot Games","0.00","3938","5.0","$330,000.00","$142,000.00","$188,000.00"
"Printicular Print Photos - 1 Hour Pickup","0.00","3909","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots - Lucky Win Casino Games & Slot Machines","0.00","3807","5.0","$330,000.00","$142,000.00","$188,000.00"
"Cool Wallpapers for Pokemon","0.00","3694","5.0","$330,000.00","$142,000.00","$188,000.00"
"Cookie Cats - a singing puzzle adventure","0.00","3687","5.0","$330,000.00","$142,000.00","$188,000.00"
"My Challenge Tracker","0.00","3682","5.0","$330,000.00","$142,000.00","$188,000.00"
"Honest App: Shop baby & diaper products","0.00","3173","5.0","$330,000.00","$142,000.00","$188,000.00"
"Buffalo Slots - Royal Casino Fun Slot Machines!","0.00","3153","5.0","$330,000.00","$142,000.00","$188,000.00"
"Cookie Clickers 2","0.00","2912","5.0","$330,000.00","$142,000.00","$188,000.00"
"Sea Hero Quest","0.00","2908","5.0","$330,000.00","$142,000.00","$188,000.00"
"Ab & Core Sworkit - Free Workout Trainer","0.00","2901","5.0","$330,000.00","$142,000.00","$188,000.00"
"Solitaire ∞","0.00","2865","5.0","$330,000.00","$142,000.00","$188,000.00"
"Skiing Yeti Mountain","0.00","2830","5.0","$330,000.00","$142,000.00","$188,000.00"
"Flow Free: Hexes","0.00","2791","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots: VIP Deluxe Slots Machines - Free Slot Games","0.00","2732","5.0","$330,000.00","$142,000.00","$188,000.00"
"Infect Them All 2 : Zombies","0.99","2630","5.0","$330,000.00","$142,000.00","$188,000.00"
"Simple Habit","0.00","2494","5.0","$330,000.00","$142,000.00","$188,000.00"
"OPUS: The Day We Found Earth","0.00","2491","5.0","$330,000.00","$142,000.00","$188,000.00"
"Donut Dazzle","0.00","2317","5.0","$330,000.00","$142,000.00","$188,000.00"
